text_id,text,task_1,task_2,split
hasoc_2020_hi_516,"RT @VeerLotus: मोदी जी को चिल्ला-2 चोर बोलना
और बेहिसाब बेलगाम गालियां देना
तथा उनकी छवि खराब करने को फैलाया
झूठ का बदबूदार रैता सब जायज था…",HOF,PRFN,train
hasoc_2020_hi_1925,@PreetiSMenon @ArvindKejriwal @GautamGambhir @AtishiAAP चोर चोर मौसेरे भाई,HOF,OFFN,train
hasoc_2020_hi_2133,RT @Payal_Rohatgi: #MothersDay यह दिन को आप सब आज मना रहे हो पूरे देश में मगर शायद आपको यह भी नहीं पता कि यह भारतीय संस्कृति नहीं है। यह we…,NOT,NONE,train
hasoc_2020_hi_2179,"RT @Aryavrta: #IndianJudiciaryAtStake 
बड़ी बहन के साथ दुष्कर्म हो तो क्या वो अपनी छोटी बहन को समर्पित करवाएगी❓

2007 तक आश्रम में रहें,201…",NOT,NONE,train
hasoc_2020_hi_3930,RT @BJP4India: बंगाल से ममता दीदी का जाना सुनिश्चित हो गया है। 23 मई के बाद बंगाल के अंदर परिवर्तन का सूर्योदय होने वाला है: श्री अमित शाह…,NOT,NONE,train
hasoc_2020_hi_258,ममता के बंगाल मे जब इतनी मार पीट चुनाव  के दौरान होती है तो वहाँ राष्ट्रपति शासन लगा कर चुनाव कराना चाहिए।लोगों को मार कर लोकतंत्र ला रही है ममता।चुनाव के समय राष्ट्रपति का ही शासन पूरे देश में होना चाहिए ।,HOF,HATE,train
hasoc_2020_hi_2838,"RT @bijendra125: #जय_सिया_राम_जी
आपका दिन मंगलमय हो।
""#समय जब #नाच नचाता है ना,
तब #सगे_संबंधी भी #काेरियाेग्राफर बन जाते हैं।""
#जय_श्री_रा…",NOT,NONE,train
hasoc_2020_hi_1100,"#GHMSNNews *Breaking News* - केंद्रीय मंत्री नितिन गडकरी की तबीयत बिगड़ी 

https://t.co/KKpGpzDEaW",NOT,NONE,train
hasoc_2020_hi_989,मेरा वोट बृजेश गोयल जी को झाड़ू अरविंद केजरीवाल जिंदाबाद https://t.co/CUPmLEIrJv,NOT,NONE,train
hasoc_2020_hi_3820,"@guddusinghdss ""करता नही है कोई कद्र यहाँ किसी के अहसासों की . . . 
हर किसी को फिक्र है बस मतलब के ताल्लुक़ातो की . . .!!!",NOT,NONE,train
hasoc_2020_hi_2492,@RanaAyyub तेली का तेल और मशालची की छाती,NOT,NONE,train
hasoc_2020_hi_2490,"RT @ranjeetadadwal: #LokSabhaElections2019
 @ECISVEEP सुनील अरोड़ा के वोट डालने के बाद तस्वीर खींचते। @IPSMadhurVerma
@JournoPranay @ashoke…",NOT,NONE,train
hasoc_2020_hi_1101,RT @SureshN12555265: सोनीया गांधी का एक और सच सामने @RahulGandhi यह कैसा घिनवना काम हुवा है तुम्हारे खानदान मे कहो ना झुठ है सबसे पहले अपना…,HOF,OFFN,train
hasoc_2020_hi_1028,"RT @SinghAwantika: अगर सारे करोड़पति बन जाएंगे तो मजदूर अफ्रीका से पकड़ कर लाया जाएगा? अमेरिका जैसे विकसित देश में भी लोग मजदूरी करते है, ऐ…",NOT,NONE,train
hasoc_2020_hi_1756,"RT @rajamaka: पंडित नेहरू जब प्रघानमंत्री थे, उनके समय कुंभ में भगदड़ हुई थी लेकिन बदनामी के डर से यह खबर को बाहर ही आने नही दिया था !!

क्…",NOT,NONE,train
hasoc_2020_hi_1540,"झांसी, प्रियंका गांधी के रोडशो में नारे लगाने वालों के खिलाफ कार्रवाही, तीन को दिखाया बाहर का रास� https://t.co/anjc4at0vw",NOT,NONE,train
hasoc_2020_hi_887,"RT @92mhq6QNslesNLP: कल मतदान जरूर करे....!!!

चाहे BJP को करो 

चाहे मोदी जी को करो

चाहे कमल को करो 

पर मतदान जरूर करे।😂😂

#JitegaModiJi…",NOT,NONE,train
hasoc_2020_hi_2500,@aroraups Logg Sharafat Mein Aksar Dhokha Khaa Jaate Hain 😆😆😆,NOT,NONE,train
hasoc_2020_hi_3652,@upasanatigress तू किसी काम की नहीं है दूसरे देश में जाकर बोझ बनने से बढ़िया है किसी गंदे नाले में डूब मर।,HOF,OFFN,train
hasoc_2020_hi_1391,@ArvindKejriwal बूथ खाली पड़े हैं।आप के बूथ मेनेजर नदारद हैं।,NOT,NONE,train
hasoc_2020_hi_3215,"@Rupendr60418689 @deepak_hariom एक बुद्धिमान माँ अपनी सन्तान से प्रेम अवश्य करती है, परन्तु उसे योग्य बनाने के लिए उसके प्रति कठोर बनने में कोताही नहीं करती
#HappyMothersDay
https://t.co/xueGYitWx7",NOT,NONE,train
hasoc_2020_hi_320,"RT @_m_rohit: हूं मै बेइंतहां हूं आज भी हू ब हू हूं
अब भी रगो मे दोडता मै वही खूं हूं

बिखरते सिसकते से कुछ अरमां कोई
हां हूं मै अभी जिंदा…",NOT,NONE,train
hasoc_2020_hi_3486,"RT @mogemboz: इतना फेंकता है कि 
आराम नहीं करता !
सुना है बादलों में रडार 
काम नहीं करता !!",NOT,NONE,train
hasoc_2020_hi_3624,@msisodia Agar offer diya hai to le lo bhaiyon. Baad main chavanni bhi nahin milegi,NOT,NONE,train
hasoc_2020_hi_3022,"@GovindaPanditU1 @qWW1YjMppqfqvuX @Sonabhadauria1 @reenasinghgaur @mksbsli08 @sitaram74378829 @shashibhaya1 @OppressedHindu @dhritrastra @ckpearloflife @imrawool @Nirmal111 @bmcowl9 @Ramsharma9981 @JayGopalMishra2 @pipcrd @Ajeet_Tyagi_Ji @bhawanablog @pmmh2015 @neerajtyagimbd @sankrant मैं तो कब से इसका पता पुछ रही हुं, डर से ये लतखोर अपना पता बताता ही नही।",HOF,PRFN,train
hasoc_2020_hi_1103,"RT @aajtak: ट्विटर पर बीजेपी के हैं दुनिया भर में सबसे ज्यादा फॉलोअर

https://t.co/3OiFUA31w2",NOT,NONE,train
hasoc_2020_hi_2157,RT @delhichatter: ये वीडियो देख कर सारे कॉमेडियन अपनी लाइन चेंज करने पर मजबूर हो सकते हैं 🤣 https://t.co/j5flUFC38q,NOT,NONE,train
hasoc_2020_hi_1275,@Sunitkrsrivasta @RubikaLiyaquat क्या बात है इतनी गर्मी में इससे बेहतर कुछ नही हो सकता ।।,NOT,NONE,train
hasoc_2020_hi_1757,"RT @RamPD78: अगर ये इंटरव्यू नहीं देखा तो कुछ नहीं देखा 

इस बहादुर बालिका के YT चेनल का पता हो तो जरुर बताना दोस्तों https://t.co/DbOOzqrq…",NOT,NONE,train
hasoc_2020_hi_4129,"@ajitanjum @abhisar_sharma @ppbajpai @ravishndtv @Ra_THORe @narendramodi 
आप सभी सज्जन देखिए कि रेलवे एवं वर्तमान केन्द्रीय-सरकार कैसे भारतीय जनता जो रेल से यात्रा करती है यहीं रेलवे कैसे यात्रियों के अच्छे दिनों का झूठा दावा कर रही है?
यह आप सभी को ध्यान से देखना चाहिए?",NOT,NONE,train
hasoc_2020_hi_3950,@BBCHindi इसे कहते हैं खतरो का खिलाड़ी।,NOT,NONE,train
hasoc_2020_hi_876,"RT @myogiadityanath: तस्वीरें सच बोलती हैं।
आज आदरणीय @narendramodi जी की पूर्वांचल रैली में वृद्ध महिलाएं, कर्मशील युवा और मुस्कुराते बच्…",NOT,NONE,train
hasoc_2020_hi_3944,@BBCHindi ये तो सही नही हो सकता,NOT,NONE,train
hasoc_2020_hi_901,"RT @DDNewsHindi: #NewsFlash: मुख्य चुनाव आयुक्त सुनील अरोड़ा ने दिल्ली के निर्माण भवन स्थित मतदान केंद्र में अपना मतदान किया  
#Phase6
#Mak…",NOT,NONE,train
hasoc_2020_hi_2524,@AkhileshPSingh प्रधान मंत्री जी की यही बातें अच्छी लगती है जो मुंह मे आए बोल दो अन्ध भक्त है ना सब सम्भाल लेंगे।अच्छा हुआ कि ये नहीं कहा कि पायलट कि जगह मै ही गया था पाकिस्तान प्लेन लेकर हमला करने।।।,HOF,OFFN,train
hasoc_2020_hi_2313,@TheAzharSabri नही रविश कुमार,NOT,NONE,train
hasoc_2020_hi_4201,"RT @Ajay27_INC: चौकीदार पहले से धोखेबाज है 
जिसने सत्ता हासिल करने के लिए #UPA के समय घोटालों का गेम प्लान किया..
और जनता को गुमराह किया..…",HOF,OFFN,train
hasoc_2020_hi_3152,मोदी के 'रेडार ज्ञान' का कांग्रेस सोशल मीडिया हेड ने उड़ाया मजाक https://t.co/MlVwUZz1b0,NOT,NONE,train
hasoc_2020_hi_1917,@kamleshtiwari03 कमलेश जी इन सुरो से दोगली कोम दुनिया भर में कोई नहीं इन सालो सारी आजादी हिन्दुस्तान में ही चाहिए अमेरिका में नंगे होंगे चीन में सुअर का मांस खाने को मजबूर लंका में इनकी लंका ही कर डाली म्यामांर में इनकी माँ बहन एक करदी आजादी हिन्दुस्तान में ही चाहिए,HOF,HATE,train
hasoc_2020_hi_734,"RT @tiwari_ashish1: भैया इस बूथ पर 400% मतदान होगा। 

बस दिक्कत ये है इन सब को पॉपुलर करने के चक्कर में मैं जेल न चला जाऊ😭😭😭😭😍😍😍😍😘😘😘😘😘😘 htt…",NOT,NONE,train
hasoc_2020_hi_1715,"तुझ पर कुछ लिखूं
इतनी मेरी औकात कहां

तूने ही तो लिखना सिखाया है माँ 👩
तू ही घर मेरा, तू ही जहां l
😍😍😘😘😘😘😘😘",NOT,NONE,train
hasoc_2020_hi_436,"भाई, सड़ जी अब नहीं जीतेंगे। 🤣🤣
स्वयं ही देख लो सड़ जी अब कितनी सीटों पे चुनाव लड़ रहे हैं ,और पिछली बार कितनी पे लड़े थे।
भाई , तुम बहुत भोले हो।
23 मई को ऐसे ट्वीट डिलीट कर देना।😝",NOT,NONE,train
hasoc_2020_hi_3490,RT @Hema_quotes: इसकी ग़रीबी देखकर आँखें नम हो जाती हैं! 😢 https://t.co/v0T8IpFhxQ,NOT,NONE,train
hasoc_2020_hi_3298,"RT @hema_yadav14: हर रिश्ते में मिलावट देखी,कच्चे रंगों की सजावट देखी, लेकिन सालों-साल देखा है माँ को,
उसके चेहरे पे ना कभी थकावट देखी, ना…",NOT,NONE,train
hasoc_2020_hi_3341,"RT @jhaprabhatbjp: JNU में जिस नौजवान ने ये कहा था, भारत तेरे टुकड़े होंगे,जिस पर देशद्रोह का मुक़दमा चल रहा है और वो जेल में रहे, दिग्विजय…",NOT,NONE,train
hasoc_2020_hi_2125,Kolhapur and Dwaraka,NOT,NONE,train
hasoc_2020_hi_3565,लेकिन उन गरीब नौजवानो का क्या होगा जो 2013-14 में CTET QUALIFIED करने के बाद OVR AGD होगए उनको इन 5 सालों में KVS के RECRUITMENT मे एक मौका क्यु नहीं दिया गया? क्या GENERAL पुरुष 30 साल के बाद प्राथमिक शिक्षक बनने के लिए उपयुक्त नहीं है? क्या यही 1 भारत श्रेष्ठ भारत है?,NOT,NONE,train
hasoc_2020_hi_2170,RT @Nikhil58690778: @tiwari_ashish1 @NationFirst0010 दो पिज़्ज़ा के बीच में सुखी रोटी। क्या बोलूं यार।... कोई अब ज़हर दे दे मुझे।,NOT,NONE,train
hasoc_2020_hi_3429,"@Swadesh03032906 Ok you win👍
जो ट्वीट किए वो डिलीट कर रहा हूं 
आपने भाई कहां इसलिए
मेरे हिसाब से भाई बहन की लड़ाई में बहन ही जितनी चाहिए",NOT,NONE,train
hasoc_2020_hi_4301,@narendramodi हिम्मत तो बस आम के खेत जाने वाले में है ।हमारे यहाँ तो आम के बाग होते हैं ।और इन हिम्मत के पहलवान को जनता और लोगों के बीच में कभी नहीं देखा ।इतनी हिम्मत है पहलवान में कि अपने देश की जनता के बीच नहीं जा सकते ।,NOT,NONE,train
hasoc_2020_hi_2705,"क्या आईना और क्या इंसान,

कद्र नहीं रहती टूटने के बाद।
😏🙄🙄😏",NOT,NONE,train
hasoc_2020_hi_2438,"RT @SurajDa62004341: #वेद_मेरा_भेद_है
🔸परमात्मा सहशरीर है उस का नाम कबीर है वह धू-लोक के तीसरे पृष्ठ मे विराजमान है l
हीरे-जवाहरात से जडा प…",NOT,NONE,train
hasoc_2020_hi_3733,"RT @ratanjha101: जिस आदमी को गाँधी के तीन बंदरों की कहानी भी लिखकर लानी पड़ती है
भाषण के बिंदु कैपिटल अक्षरों में लिखकर लाने पड़ते हैं
125…",HOF,OFFN,train
hasoc_2020_hi_3581,"RT @dpksharmaa: @SheilaDikshit @ArvindKejriwal बड़ी अम्मा आप इस चुतियानंदन केजरीवाल के बारे में मत सोचो 
अब दिल्ली समझ गयी है इस नक्सली को",HOF,PRFN,train
hasoc_2020_hi_678,RT @abhisar_sharma: अब हम करें तो करें क्या ? बोलें तो बोलें क्या ? https://t.co/YkDMOL7T3c,NOT,NONE,train
hasoc_2020_hi_2434,"@BJP4Rajasthan कांग्रेस सरकार को ये पता नही है की पैसा कहा से आयेगा ओर ये गरीब लोगो को 72,000 मुफ्त रुपय देने का वादा कर रही है 
ये सब झूट है।
कांग्रेस सरकार चोर है ।",HOF,OFFN,train
hasoc_2020_hi_850,RT @MLArajeshSP: सुदूर ब्रह्मांड मे नये नये तारो और ग्रहों की खोज कर रहे वैज्ञानिको को ये भी चिंता सताने लगी है कि पृथ्वी के रेडियो सिग्नल…,NOT,NONE,train
hasoc_2020_hi_884,"@desh_bhkt मुझे कुछ मिले न मिले,गम नहीं,

मोदी जी के हाथों में देश की बागडोर किसी खजाने से कम नही, https://t.co/dT18ZKjhcy",NOT,NONE,train
hasoc_2020_hi_1704,"RT @INCMP: कुछ तो शर्म करो :

- जीएसटी और नोटबंदी से धंधा चौपट करने वालों 
- किसानों के साथ धोखा करने वालों
- जनता के टैक्स का पैसा विज्ञाप…",HOF,HATE,train
hasoc_2020_hi_3292,"RT @IMinakshiJoshi: ""20-25 साल बाद जब मेरा शरीर कमज़ोर हो जाएगा तब मैं किराए का कमरा खोजूँगा ।""
@narendramodi 
क्या देवरिया से मोदी का संके…",NOT,NONE,train
hasoc_2020_hi_2588,@RSFBLB 🤣🤣🤣🤣🤣🤣 पप्पू पेलू के चमचे 🤣,HOF,OFFN,train
hasoc_2020_hi_33,"RT @SureshChavhanke: टीपू सुल्तान के भक्त @RahulGandhi के वोट की जगह भी ""औरंगजेब लेन"".. है !",NOT,NONE,train
hasoc_2020_hi_2595,"RT @SurekhaInsan: बच्चों को अपने माँ बाप की निंदा नहीं करनी चाहिए ,ऐसा करते हो तो उससे बड़ा पाप और कोई नहीं हो सकता।
अगर उनकी किसी बात से ह…",NOT,NONE,train
hasoc_2020_hi_3111,@KarunaShukla10 इनके पिता जी शायद कसाब की अफ़जल जैसे आतंकवादीयो का केश लड़ रहा था उनको बचाने के लिये,NOT,NONE,train
hasoc_2020_hi_1123,@BeingvickyyZ आई को मेरी ओर से #HappyMothersDay बोलना पगलु,NOT,NONE,train
hasoc_2020_hi_857,शाम को में चचा के इसी बयान को याद कर रहा था 😆,NOT,NONE,train
hasoc_2020_hi_896,"आज का बादल देख कर ख़ुशी हो रही,मोदीजी कुछ अच्छा जरूर करेंगे।

@Shehla_Rashid",NOT,NONE,train
hasoc_2020_hi_911,RT @AndColorPockeT: दिग्विजय ने खुद अपना वोट नही डाला और ये बाकियों से उसके लिए वोट डालने की अपील कर रही। https://t.co/TKoP4fww7J,NOT,NONE,train
hasoc_2020_hi_561,"RT @upadhyay51: साड़ी पहनने की अंतिम तिथि 19 मई शाम छह बजे है उसके बाद इधर से साड़ी डालो उधर से जीन्स निकलेगी 😂😂
@priyankagandhi",HOF,OFFN,train
hasoc_2020_hi_708,RT @Mj0359: चमचो को समझ आने लगा है। #Haryanavotefornation  #jhajjar https://t.co/noHoTDi7VN,HOF,HATE,train
hasoc_2020_hi_69,RT @ajitanjum: इंडिया टुडे पर तुरंत देशद्रोह का मुकदमा दर्ज होना चाहिए .ऐसी  कवर स्टोरी कोई पाकिस्तानी ही छाप सकता है कि करोड़ से ज्यादा नौ…,HOF,HATE,train
hasoc_2020_hi_3412,"RT @AdityadasSatlok: #दहेज_मुक्त_समाज का निर्माण संत रामपाल जी महाराज कर रहे है। अब तक 30,000 से अधिक दहेज, फिजूलखर्ची और आडंबर मुक्त विवाह…",NOT,NONE,train
hasoc_2020_hi_3759,ये पप्पू क्या खानदानी पप्पू है क्या?,NOT,NONE,train
hasoc_2020_hi_4325,"RT @atulkanakk: लोग भी यों ही बात का बतंगड़ बना देते हैं/
अब कोई मूँगफली बेचने के लिए तो राजनीति में नहीं आता ना!
🤣 https://t.co/yLTAb7y8Jv",NOT,NONE,train
hasoc_2020_hi_299,@sambit_swaraj1 भैया इसके कहने का मतलब है कि 23 को चार लोगों की जरूरत है कांग्रेस को कंधा देने के लिए,NOT,NONE,train
hasoc_2020_hi_1062,"RT @Activelado: जरा सी बात करनी बंद क्या की
पुराने दोस्तों ने धीरे-धीरे साथ छोड़ दिया
ऐसा लगता है, जैसे....
मेरे बात बंद करने का ही इंतज़ार…",NOT,NONE,train
hasoc_2020_hi_95,"RT @dev_kundan: @yadavtejashwi @laluprasadrjd कितना भी कुछ कर लीजिए बिहार की जनता अब पहले वाली नही है , 7 सीट से ज्यादा नही आने वाली है ,…",NOT,NONE,train
hasoc_2020_hi_2081,"RT @AsaramBapuJi: मनुष्य जो कर्म करता है उसके प्रेरक-बल के रूप में उसकी इच्छाएँ, वासनाएँ होती हैं। यदि मनुष्य जन्म में उसे सही सीख मिल जाय,…",NOT,NONE,train
hasoc_2020_hi_4131,"RT @ParthSonara4: गुजरात के गांवो में दलितों की शादी ओ में जातिवादी अत्याचार। 
#DalitLivesMatter",NOT,NONE,train
hasoc_2020_hi_4326,"@PoonamS18957721 ओर उस से भगवान ने कह रखा हो कि मै उसको भेजूंगा,  तो,🤗🤔😊",NOT,NONE,train
hasoc_2020_hi_2769,"@ZeeNewsHindi  रावण और उसकी भीम सेना का नकाब उतर गया ये सिर्फ भारत में जातिवाद का जहर घोलने वाले है इनको मतलब नहीं दलित बेटियों की ईज्जत सरेआम विडियो बनाकर लूटी जाती है तो लूटी जाऐ इन्होने चूं तक नहीं की ।
सरकार और दूसरी जातियों पर लांछण जितने मर्जी लगवा लो देश में फूट डलवा लो बस",HOF,HATE,train
hasoc_2020_hi_4179,"RT @The_Hina1: “बद-क़िस्मत है वह इंसान जो अपने गुनाह इस मुबारक महीने में न माफ़ करा पाए।”
“रोज़े की भूख और प्यास के द्वारा क़यामत की भूख और…",HOF,OFFN,train
hasoc_2020_hi_3916,RT @shuklapinku: porn gresi के दामाद आतंकी अजर मसूद अब आंतर राष्ट्रिय आतंकी  .... इसका श्रेय नेहरू जी को जाता है !! 😀,NOT,NONE,train
hasoc_2020_hi_2544,"RT @manakgupta: पाकिस्तान ने घुसपैठ बंद की, आतंकी लॉंच-पैड ख़ाली किए...फ़ाइअरिंग रोकने का ऑफ़र किया. घुटनों पर आ गया है आतंकिस्तान 👍 https:…",NOT,NONE,train
hasoc_2020_hi_929,हमने अपना काम किया अब आप भदोही जिला का विकास करिए।,NOT,NONE,train
hasoc_2020_hi_1439,"न डराओ मुझे माँ कह कर

मै एक माँ हूँ| तुम मुझे अपनी पूज्य मानते हो- ऐसा तुम कहते फिरते हो| किन्तु यथार्थ की वेदी पर इसमें मुझे कोई शंका नहीं किन्तु पूर्ण विश्वास है कि इसमें अब सत्य का सत्व खत्म हो गया है|... https://t.co/LkCOejDfce",NOT,NONE,train
hasoc_2020_hi_2534,"RT @AshishSainram: हमने तो सुना था कि..

“चर्च के पादरी और नन सेवा करते हैं”

पर यहाँ तो “पूरा” वेतन ले कर भी टैक्स नहीं भरते

अगर सब ईश्वर…",NOT,NONE,train
hasoc_2020_hi_3487,"Wo jo sabki surat pe haste hai
Unhe tohfe me aaina dijiye 
#Sntosvd",NOT,NONE,train
hasoc_2020_hi_1555,"#पुरे देश का एक ही नारा 
           नरेंद्र मोदी चाहिए दोबारा 
#DeshKeDilMeiModi 
#VotingRound6 
#हरियाणा 
@TrehanNeeti",NOT,NONE,train
hasoc_2020_hi_3117,"RT @mrjitunpanda: जिनका अंडरवियर हरेक अमेरिकी एयरपोर्ट पर उतरता हो,
वो दूसरों के अंडरवियर का कलर नहीं बताते",HOF,OFFN,train
hasoc_2020_hi_1032,"सफ़र है, सफ़र में सबर रख के चल,
कहाँ है तू इसकी ख़बर रख के चल,
#SauBaatKiEkBaat कही ‘बेचैन’ ने
जो कहना है तुझको वो कह के ही उठ,
न दिल में ज़रा भी कसर रख के चल।",NOT,NONE,train
hasoc_2020_hi_3662,"RT @Randhirkush: #WednesdayMotivation
वेद बोलने वाला ब्रह्म कह रहा है वह स्वयं सतपुरुष कबीर हैं जो कबीर वाणीओं द्वारा निर्मल ज्ञान अपने हंस…",NOT,NONE,train
hasoc_2020_hi_2686,RT @JhaManyu1984: 84 के दंगे मे सिख मरते गए बेटियों का बलात्कार होता रहा गुरुद्वारे जलता रहे पर कुछ सीख बेशर्म सिख पापी काँग्रेस को वोट दे…,HOF,HATE,train
hasoc_2020_hi_1017,@sambitswaraj मतलब कांग्रेस को वोट दे दिया,NOT,NONE,train
hasoc_2020_hi_2605,@RubikaLiyaquat शर्म आनी चाहिए प्रियंका को,NOT,NONE,train
hasoc_2020_hi_2326,"RT @Diyasin32915347: #BlackSpotOnJudiciary 
हरियाणा कि सरकार ने बहुत बड़ा घुन्हा किया है एक निर्दोष संत को उम्रकैद की सजा सुना कर जिस दिन ह…",HOF,HATE,train
hasoc_2020_hi_2659,"क्या आप अपने खाली समय में घर या दूकान या ऑफिस या कॉलेज से बैठे बैठे हर महीने कुछ एक्स्ट्रा कमाना चाहते हैं? क्या आप दैनिक जीवन के सामान खरीद पर ढेर बचाना चाहते हैं?

 यहाँ से डाउनलोड करें और मेरे रेफरल कोड VTO6V का उपयोग करें - https://t.co/9E5JGRUA9j",NOT,NONE,train
hasoc_2020_hi_2748,"RT @piyushtrips: सिर्फ पांच वर्षो में हुई इन उपलब्धियों ने कांग्रेस समेत सारे विपक्ष की नींद हराम कर रखी है |
#NamoAgain

#DeshKeDilMeiModi…",NOT,NONE,train
hasoc_2020_hi_988,@AliSohrab007 @SultanAliqazi गलत जानकारी. बिहार में कुर्मी आबादी 11%से थोड़ा ज्यादा है ।,NOT,NONE,train
hasoc_2020_hi_1621,"RT @AsaramBapuJi: भगवान की जिम्मेदारी है पर आप विश्वास नहीं करते-पूज्य बापूजी
जो अत्यंत जरूरी है वह कर डालो और जो बिनजरूरी है,थोड़ा जरूरी…",NOT,NONE,train
hasoc_2020_hi_2481,"RT @BJP4India: देखिये: 'जो मोदी जी को बुरा बोल रहा है, वो है बुरा'...कह रहा है बिहार का युवा। #JitegaModiJitegaBharat https://t.co/akHScipV…",NOT,NONE,train
hasoc_2020_hi_2144,"RT @ModiLeDubega: आतंकवादी प्रज्ञा ठाकुर BJP के टिकट पर चुनाव लड़ सकती है जबकि वह बम धमाके में जेल जा चुकी

लेकिन BSFजवान तेज बहादुर घटिया…",HOF,OFFN,train
hasoc_2020_hi_669,@anuragspparty @BrajeshYadavSP @yadavakhilesh @ndtv @Mayawati @RahulGandhi गरीबों का सुनने वाला कोई भी नहीं है ।हर कोई बस अमीरो की बात करता है।,NOT,NONE,train
hasoc_2020_hi_4371,"@ved175 @Rituchandel04 Sant Shri Asaram Bapu Ji ने बताया की बचपन में मीराबाई ने माँ से अपने पति के बारे में पूछा तब माँ ने यह बताया कि 'तेरा पति तो गिरधर गोपाल है।' तब से यही उसके जीवन का मूलमंत्र बन गया।
#HappyMothersDay",NOT,NONE,train
