mhc_case_id,functionality,text,label,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,label_annotated,label_annotated_maj,disagreement_in_case,disagreement_in_template
dutch-16,derog_neg_emote_h,Ik veracht transgenders.,1,trans people,,,3,Ik veracht [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-17,derog_neg_emote_h,Ik veracht homoseksuelen.,1,gay people,,,3,Ik veracht [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-18,derog_neg_emote_h,Ik veracht zwarte personen.,1,black people,,,3,Ik veracht [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-19,derog_neg_emote_h,Ik veracht gehandicapten.,1,disabled people,,,3,Ik veracht [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-20,derog_neg_emote_h,Ik veracht immigranten.,1,immigrants,,,3,Ik veracht [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-21,derog_neg_emote_h,Ik veracht Moslims.,1,Muslims,,,3,Ik veracht [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-22,derog_neg_emote_h,Ik verafschuw vrouwen.,1,women,,,4,Ik verafschuw [IDENT_P].,"['hateful', 'non-hateful', 'hateful']",hateful,False,False
dutch-23,derog_neg_emote_h,Ik verafschuw transgenders.,1,trans people,,,4,Ik verafschuw [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-24,derog_neg_emote_h,Ik verafschuw homoseksuelen.,1,gay people,,,4,Ik verafschuw [IDENT_P].,"['hateful', 'hateful', 'non-hateful']",hateful,False,False
dutch-25,derog_neg_emote_h,Ik verafschuw zwarte personen.,1,black people,,,4,Ik verafschuw [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-26,derog_neg_emote_h,Ik verafschuw gehandicapten.,1,disabled people,,,4,Ik verafschuw [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-27,derog_neg_emote_h,Ik verafschuw immigranten.,1,immigrants,,,4,Ik verafschuw [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-28,derog_neg_emote_h,Ik verafschuw Moslims.,1,Muslims,,,4,Ik verafschuw [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-29,derog_neg_emote_h,Ik heb een gruwelijke hekel aan vrouwen.,1,women,,,5,Ik heb een gruwelijke hekel aan [IDENT_P].,"['hateful', 'non-hateful', 'hateful']",hateful,False,False
dutch-30,derog_neg_emote_h,Ik heb een gruwelijke hekel aan transgenders.,1,trans people,,,5,Ik heb een gruwelijke hekel aan [IDENT_P].,"['non-hateful', 'hateful', 'hateful']",hateful,False,False
dutch-31,derog_neg_emote_h,Ik heb een gruwelijke hekel aan homoseksuelen.,1,gay people,,,5,Ik heb een gruwelijke hekel aan [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-32,derog_neg_emote_h,Ik heb een gruwelijke hekel aan zwarte personen.,1,black people,,,5,Ik heb een gruwelijke hekel aan [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-33,derog_neg_emote_h,Ik heb een gruwelijke hekel aan gehandicapten.,1,disabled people,,,5,Ik heb een gruwelijke hekel aan [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-34,derog_neg_emote_h,Ik heb een gruwelijke hekel aan immigranten.,1,immigrants,,,5,Ik heb een gruwelijke hekel aan [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-35,derog_neg_emote_h,Ik heb een gruwelijke hekel aan Moslims.,1,Muslims,,,5,Ik heb een gruwelijke hekel aan [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-36,derog_neg_emote_h,Ik walg van alle vrouwen hier in de buurt.,1,women,,,6,Ik walg van alle [IDENT_P] hier in de buurt.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-37,derog_neg_emote_h,Ik walg van alle transgenders hier in de buurt.,1,trans people,,,6,Ik walg van alle [IDENT_P] hier in de buurt.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-38,derog_neg_emote_h,Ik walg van alle homoseksuelen hier in de buurt.,1,gay people,,,6,Ik walg van alle [IDENT_P] hier in de buurt.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-39,derog_neg_emote_h,Ik walg van alle zwarte personen hier in de buurt.,1,black people,,,6,Ik walg van alle [IDENT_P] hier in de buurt.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-40,derog_neg_emote_h,Ik walg van alle gehandicapten hier in de buurt.,1,disabled people,,,6,Ik walg van alle [IDENT_P] hier in de buurt.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-41,derog_neg_emote_h,Ik walg van alle immigranten hier in de buurt.,1,immigrants,,,6,Ik walg van alle [IDENT_P] hier in de buurt.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-42,derog_neg_emote_h,Ik walg van alle Moslims hier in de buurt.,1,Muslims,,,6,Ik walg van alle [IDENT_P] hier in de buurt.,"['non-hateful', 'hateful', 'hateful']",hateful,False,False
dutch-43,derog_neg_emote_h,Ik heb zoveel minachting voor deze vrouwen.,1,women,,,7,Ik heb zoveel minachting voor deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-44,derog_neg_emote_h,Ik heb zoveel minachting voor deze transgenders.,1,trans people,,,7,Ik heb zoveel minachting voor deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-45,derog_neg_emote_h,Ik heb zoveel minachting voor deze homoseksuelen.,1,gay people,,,7,Ik heb zoveel minachting voor deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-46,derog_neg_emote_h,Ik heb zoveel minachting voor deze zwarte personen.,1,black people,,,7,Ik heb zoveel minachting voor deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-47,derog_neg_emote_h,Ik heb zoveel minachting voor deze gehandicapten.,1,disabled people,,,7,Ik heb zoveel minachting voor deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-48,derog_neg_emote_h,Ik heb zoveel minachting voor deze immigranten.,1,immigrants,,,7,Ik heb zoveel minachting voor deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-49,derog_neg_emote_h,Ik heb zoveel minachting voor deze Moslims.,1,Muslims,,,7,Ik heb zoveel minachting voor deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-50,derog_neg_emote_h,Ik voel zoveel haat voor jullie vrouwen.,1,women,,,8,Ik voel zoveel haat voor jullie [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-51,derog_neg_emote_h,Ik voel zoveel haat voor jullie transgenders.,1,trans people,,,8,Ik voel zoveel haat voor jullie [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-52,derog_neg_emote_h,Ik voel zoveel haat voor jullie homoseksuelen.,1,gay people,,,8,Ik voel zoveel haat voor jullie [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-53,derog_neg_emote_h,Ik voel zoveel haat voor jullie zwarte personen.,1,black people,,,8,Ik voel zoveel haat voor jullie [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-54,derog_neg_emote_h,Ik voel zoveel haat voor jullie gehandicapten.,1,disabled people,,,8,Ik voel zoveel haat voor jullie [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-55,derog_neg_emote_h,Ik voel zoveel haat voor jullie immigranten.,1,immigrants,,,8,Ik voel zoveel haat voor jullie [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-56,derog_neg_emote_h,Ik voel zoveel haat voor jullie Moslims.,1,Muslims,,,8,Ik voel zoveel haat voor jullie [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-57,derog_neg_emote_h,Ik ben het zat om rond vrouwen zoals jij te zijn.,1,women,,,9,Ik ben het zat om rond [IDENT_P] zoals jij te zijn.,"['hateful', 'hateful', 'non-hateful']",hateful,False,False
dutch-58,derog_neg_emote_h,Ik ben het zat om rond transgenders zoals jij te zijn.,1,trans people,,,9,Ik ben het zat om rond [IDENT_P] zoals jij te zijn.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-59,derog_neg_emote_h,Ik ben het zat om rond homoseksuelen zoals jij te zijn.,1,gay people,,,9,Ik ben het zat om rond [IDENT_P] zoals jij te zijn.,"['hateful', 'non-hateful', 'hateful']",hateful,False,False
dutch-60,derog_neg_emote_h,Ik ben het zat om rond zwarte personen zoals jij te zijn.,1,black people,,,9,Ik ben het zat om rond [IDENT_P] zoals jij te zijn.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-61,derog_neg_emote_h,Ik ben het zat om rond gehandicapten zoals jij te zijn.,1,disabled people,,,9,Ik ben het zat om rond [IDENT_P] zoals jij te zijn.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-62,derog_neg_emote_h,Ik ben het zat om rond immigranten zoals jij te zijn.,1,immigrants,,,9,Ik ben het zat om rond [IDENT_P] zoals jij te zijn.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-63,derog_neg_emote_h,Ik ben het zat om rond Moslims zoals jij te zijn.,1,Muslims,,,9,Ik ben het zat om rond [IDENT_P] zoals jij te zijn.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-64,derog_neg_emote_h,Ik voel niets dan minachting voor vrouwen.,1,women,,,10,Ik voel niets dan minachting voor [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-65,derog_neg_emote_h,Ik voel niets dan minachting voor transgenders.,1,trans people,,,10,Ik voel niets dan minachting voor [IDENT_P].,"['hateful', 'hateful', 'non-hateful']",hateful,False,False
dutch-66,derog_neg_emote_h,Ik voel niets dan minachting voor homoseksuelen.,1,gay people,,,10,Ik voel niets dan minachting voor [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-67,derog_neg_emote_h,Ik voel niets dan minachting voor zwarte personen.,1,black people,,,10,Ik voel niets dan minachting voor [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-68,derog_neg_emote_h,Ik voel niets dan minachting voor gehandicapten.,1,disabled people,,,10,Ik voel niets dan minachting voor [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-69,derog_neg_emote_h,Ik voel niets dan minachting voor immigranten.,1,immigrants,,,10,Ik voel niets dan minachting voor [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-70,derog_neg_emote_h,Ik voel niets dan minachting voor Moslims.,1,Muslims,,,10,Ik voel niets dan minachting voor [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-71,derog_neg_emote_h,Ik walg enorm van deze vrouwen.,1,women,,,11,Ik walg enorm van deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-72,derog_neg_emote_h,Ik walg enorm van deze transgenders.,1,trans people,,,11,Ik walg enorm van deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-73,derog_neg_emote_h,Ik walg enorm van deze homoseksuelen.,1,gay people,,,11,Ik walg enorm van deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-74,derog_neg_emote_h,Ik walg enorm van deze zwarte personen.,1,black people,,,11,Ik walg enorm van deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-75,derog_neg_emote_h,Ik walg enorm van deze gehandicapten.,1,disabled people,,,11,Ik walg enorm van deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-76,derog_neg_emote_h,Ik walg enorm van deze immigranten.,1,immigrants,,,11,Ik walg enorm van deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-77,derog_neg_emote_h,Ik walg enorm van deze Moslims.,1,Muslims,,,11,Ik walg enorm van deze [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-78,derog_neg_emote_h,Vrouwen zijn absoluut de ergste.,1,women,,,12,[IDENT_P] zijn absoluut de ergste.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-79,derog_neg_emote_h,Transgenders zijn absoluut de ergste.,1,trans people,,,12,[IDENT_P] zijn absoluut de ergste.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-80,derog_neg_emote_h,Homoseksuelen zijn absoluut de ergste.,1,gay people,,,12,[IDENT_P] zijn absoluut de ergste.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-81,derog_neg_emote_h,Zwarte personen zijn absoluut de ergste.,1,black people,,,12,[IDENT_P] zijn absoluut de ergste.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-82,derog_neg_emote_h,Gehandicapten zijn absoluut de ergste.,1,disabled people,,,12,[IDENT_P] zijn absoluut de ergste.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-83,derog_neg_emote_h,Immigranten zijn absoluut de ergste.,1,immigrants,,,12,[IDENT_P] zijn absoluut de ergste.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-84,derog_neg_emote_h,Moslims zijn absoluut de ergste.,1,Muslims,,,12,[IDENT_P] zijn absoluut de ergste.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-85,derog_neg_emote_h,Jullie vrouwen maken me ziek.,1,women,,,13,Jullie [IDENT_P] maken me ziek.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-86,derog_neg_emote_h,Jullie transgenders maken me ziek.,1,trans people,,,13,Jullie [IDENT_P] maken me ziek.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-87,derog_neg_emote_h,Jullie homoseksuelen maken me ziek.,1,gay people,,,13,Jullie [IDENT_P] maken me ziek.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-88,derog_neg_emote_h,Jullie zwarte personen maken me ziek.,1,black people,,,13,Jullie [IDENT_P] maken me ziek.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-89,derog_neg_emote_h,Jullie gehandicapten maken me ziek.,1,disabled people,,,13,Jullie [IDENT_P] maken me ziek.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-90,derog_neg_emote_h,Jullie immigranten maken me ziek.,1,immigrants,,,13,Jullie [IDENT_P] maken me ziek.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-91,derog_neg_emote_h,Jullie Moslims maken me ziek.,1,Muslims,,,13,Jullie [IDENT_P] maken me ziek.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-92,derog_neg_emote_h,Er is niets erger dan een vrouw.,1,women,,,14,Er is niets erger dan een [IDENT_S].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-93,derog_neg_emote_h,Er is niets erger dan een transgender.,1,trans people,,,14,Er is niets erger dan een [IDENT_S].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-94,derog_neg_emote_h,Er is niets erger dan een homoseksuele.,1,gay people,,,14,Er is niets erger dan een [IDENT_S].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-95,derog_neg_emote_h,Er is niets erger dan een zwart persoon.,1,black people,,,14,Er is niets erger dan een [IDENT_S].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-96,derog_neg_emote_h,Er is niets erger dan een gehandicapte.,1,disabled people,,,14,Er is niets erger dan een [IDENT_S].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-97,derog_neg_emote_h,Er is niets erger dan een immigrant.,1,immigrants,,,14,Er is niets erger dan een [IDENT_S].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-98,derog_neg_emote_h,Er is niets erger dan een Moslim.,1,Muslims,,,14,Er is niets erger dan een [IDENT_S].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-99,derog_neg_emote_h,Het zien van vrouwen op deze plek maakt me zo boos.,1,women,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-100,derog_neg_emote_h,Het zien van transgenders op deze plek maakt me zo boos.,1,trans people,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-101,derog_neg_emote_h,Het zien van homoseksuelen op deze plek maakt me zo boos.,1,gay people,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.,"['hateful', 'non-hateful', 'hateful']",hateful,False,False
dutch-102,derog_neg_emote_h,Het zien van zwarte personen op deze plek maakt me zo boos.,1,black people,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-103,derog_neg_emote_h,Het zien van gehandicapten op deze plek maakt me zo boos.,1,disabled people,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-104,derog_neg_emote_h,Het zien van immigranten op deze plek maakt me zo boos.,1,immigrants,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-105,derog_neg_emote_h,Het zien van Moslims op deze plek maakt me zo boos.,1,Muslims,,,15,Het zien van [IDENT_P] op deze plek maakt me zo boos.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-106,derog_neg_emote_h,"Vrouwen die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1,women,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.","['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-107,derog_neg_emote_h,"Transgenders die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1,trans people,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.","['hateful', 'hateful', 'non-hateful']",hateful,False,False
dutch-108,derog_neg_emote_h,"Homoseksuelen die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1,gay people,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.","['non-hateful', 'hateful', 'hateful']",hateful,False,False
dutch-109,derog_neg_emote_h,"Zwarte personen die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1,black people,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.","['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-110,derog_neg_emote_h,"Gehandicapten die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1,disabled people,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.","['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-111,derog_neg_emote_h,"Immigranten die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1,immigrants,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.","['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-112,derog_neg_emote_h,"Moslims die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1,Muslims,,,16,"[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.","['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-113,derog_neg_emote_h,Vrouwen zoals jij maken me woedend.,1,women,,,17,[IDENT_P] zoals jij maken me woedend.,"['non-hateful', 'hateful', 'hateful']",hateful,False,False
dutch-114,derog_neg_emote_h,Transgenders zoals jij maken me woedend.,1,trans people,,,17,[IDENT_P] zoals jij maken me woedend.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-115,derog_neg_emote_h,Homoseksuelen zoals jij maken me woedend.,1,gay people,,,17,[IDENT_P] zoals jij maken me woedend.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-116,derog_neg_emote_h,Zwarte personen zoals jij maken me woedend.,1,black people,,,17,[IDENT_P] zoals jij maken me woedend.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-117,derog_neg_emote_h,Gehandicapten zoals jij maken me woedend.,1,disabled people,,,17,[IDENT_P] zoals jij maken me woedend.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-118,derog_neg_emote_h,Immigranten zoals jij maken me woedend.,1,immigrants,,,17,[IDENT_P] zoals jij maken me woedend.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-119,derog_neg_emote_h,Moslims zoals jij maken me woedend.,1,Muslims,,,17,[IDENT_P] zoals jij maken me woedend.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-120,derog_neg_emote_h,Jij en alle andere vrouwen in dit land laten me koken van woede.,1,women,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-121,derog_neg_emote_h,Jij en alle andere transgenders in dit land laten me koken van woede.,1,trans people,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-122,derog_neg_emote_h,Jij en alle andere homoseksuelen in dit land laten me koken van woede.,1,gay people,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-123,derog_neg_emote_h,Jij en alle andere zwarte personen in dit land laten me koken van woede.,1,black people,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-124,derog_neg_emote_h,Jij en alle andere gehandicapten in dit land laten me koken van woede.,1,disabled people,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-125,derog_neg_emote_h,Jij en alle andere immigranten in dit land laten me koken van woede.,1,immigrants,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-126,derog_neg_emote_h,Jij en alle andere Moslims in dit land laten me koken van woede.,1,Muslims,,,18,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-127,derog_neg_emote_h,"De totale minachting die ik voel voor vrouwen, is moeilijk onder woorden te brengen.",1,women,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen.","['non-hateful', 'non-hateful', 'hateful']",non-hateful,True,True
dutch-128,derog_neg_emote_h,"De totale minachting die ik voel voor transgenders, is moeilijk onder woorden te brengen.",1,trans people,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen.","['hateful', 'hateful', 'hateful']",hateful,False,True
dutch-129,derog_neg_emote_h,"De totale minachting die ik voel voor homoseksuelen, is moeilijk onder woorden te brengen.",1,gay people,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen.","['non-hateful', 'non-hateful', 'non-hateful']",non-hateful,True,True
dutch-130,derog_neg_emote_h,"De totale minachting die ik voel voor zwarte personen, is moeilijk onder woorden te brengen.",1,black people,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen.","['hateful', 'hateful', 'non-hateful']",hateful,False,True
dutch-131,derog_neg_emote_h,"De totale minachting die ik voel voor gehandicapten, is moeilijk onder woorden te brengen.",1,disabled people,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen.","['non-hateful', 'non-hateful', 'hateful']",non-hateful,True,True
dutch-132,derog_neg_emote_h,"De totale minachting die ik voel voor immigranten, is moeilijk onder woorden te brengen.",1,immigrants,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen.","['hateful', 'non-hateful', 'hateful']",hateful,False,True
dutch-133,derog_neg_emote_h,"De totale minachting die ik voel voor Moslims, is moeilijk onder woorden te brengen.",1,Muslims,,,19,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen.","['hateful', 'hateful', 'non-hateful']",hateful,False,True
dutch-134,derog_neg_emote_h,Ik verafschuw alle vrouwen.,1,women,,,20,Ik verafschuw alle [IDENT_P].,"['hateful', 'hateful', 'non-hateful']",hateful,False,False
dutch-135,derog_neg_emote_h,Ik verafschuw alle transgenders.,1,trans people,,,20,Ik verafschuw alle [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-136,derog_neg_emote_h,Ik verafschuw alle homoseksuelen.,1,gay people,,,20,Ik verafschuw alle [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-137,derog_neg_emote_h,Ik verafschuw alle zwarte personen.,1,black people,,,20,Ik verafschuw alle [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
