HITId,tweet,sentiment,directness,annotator_sentiment,target,group
32,@user @user @user et vous vous êtes contres la pma pour tout le monde et contre l’avortement. el… @url,normal,indirect,indifference,other,other
33,@user pour ou contre l'avortement ?,normal,indirect,sadness,other,women
34,bordel y'a un sale arabe d'algerien qui insulte mère de pute parce que je l'ai supprimé de snap après qu'il m'ai… @url,offensive,direct,sadness,origin,asians
35,@user @user leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnabl… @url,fearful_abusive_hateful,indirect,indifference,other,individual
36,@user @user @user d'autant plus bizarre que flavius josèphe est resté juif jusqu'au bout des ongles.,normal,indirect,anger_indifference,other,jews
37,quand je sors de chez le coiffeur j’suis vraiment le plus beau de tous les rebeus,normal,direct,anger_fear_indifference_sadness_disgust,origin,muslims
38,@user @user @user @user @user @user @user la vraie violence c’est de force… @url,offensive,indirect,shock,other,other
39,mais putain respecte ton chat lui au moins il fait pas le mongol pour attirer l'attention @url,offensive,direct,sadness,origin,other
40,peut s'attendre à des lendemains difficiles pour le royaume-uni si jeremy #corbyn islamo-gauchiste de la pir… @url,disrespectful,direct,indifference,other,left_wing_people
41,@user t’es surtout un attardé,offensive,indirect,shock,disability,special_needs
42,@user @user oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas… @url,normal,indirect,indifference,other,immigrants
43,@user @user j'essaie de bien comprendre maintenant je sais que quand dit qu'on est antisioniste il… @url,normal,indirect,indifference,other,other
44,@user quand tu lui dit que la commission est un monstre anti démocratique non élu il te traite de débile! il vi… @url,offensive,indirect,indifference,other,individual
45,ces dames arabes toujours à se plaindre @url,fearful,direct,sadness,origin,indian/hindu
46,@user @user l'état civil chez les renois c'est en option aussi.,fearful_abusive_offensive_normal,indirect,indifference,origin,other
47,@user @user @user halim95 au lieu d' hurler comme un attardé mental ouvrez les yeux sur les parole… @url,offensive,indirect,confusion_fear_indifference_sadness_disgust,other,individual
48,@user dirait un gauchiste qui chouine source ?,fearful_abusive_disrespectful_normal,direct,confusion_indifference,other,left_wing_people
49,@user j'ai jms dit le contraire sale arabe juste c'est comme si pr ton annif je te paie une ps4 avec red dead,offensive_hateful,indirect,indifference,origin,arabs
50,jvois vla les renois comment il parle des blanc sa vnr et tu lui sors c'est raciste il te dis très sereinement … @url,abusive,direct,sadness_indifference,origin,other
51,rejetez le machisme blanc vous aurez le machisme africain.,abusive,direct,indifference,origin,african_descent
52,doudoune et ugg vraiment les renois abusent #jaimelestylehivermaispaslefroid #jsuisunevraigwada,normal,direct,shock,origin,african_descent
53,c est qui le mongol en face bourdin? @url,disrespectful,direct,confusion_shock,origin,individual
54,#cedricherrou demande aux politiques français de gérer des migrants. quid des dirigeants africains + occupés à s'en… @url,fearful,direct,anger_confusion_fear_indifference_sadness,origin,other
55,je suis coincé à berlin entre une manifestation d’extrême droite contre l’avortement une autre de gauchistes et un… @url,abusive,direct,shock,origin,individual
56,@user @user liebig . comme tout bon gauchiste attise le racisme anti blanc et anti français !!!!,offensive,direct,sadness,origin,left_wing_people
57,@user @user et évidemment pas capable de m'envoyer un lien pauvre attardé random congénital. maintenant… @url,offensive,direct,indifference,other,individual
58,@user tu nous ramène une maladie de jérusalem?],hateful,indirect,sadness,religion,jews
59,@user la moitié des renois ici ils ont le seum contre les arabes mais c bon jtweet sur les renois 1 fois s’attaque trop à eux,fearful,indirect,shock,origin,african_descent
60,@user @user @user non mais laisse le ce gros mongol il va tweeter un complot de l uefa pro catalan dans 5min,offensive,indirect,indifference,other,individual
61,vidéo voici comment des migrants africains vivent en #france c’est pire qu’en #afrique @url,abusive_normal,indirect,sadness,origin,immigrants
62,@user décidément n'importe quel attardé peut de nos jours détenir la carte professionnelle. revoyez le con… @url,normal,direct,sadness,origin,other
63,@user mathilde c est normal il bien une tète intello attardé !doux baisers,offensive,indirect,anger_sadness_indifference_disgust,other,individual
64,@user @user @user mr simon vous ne pouvez justifier voir atténuer la violence des propos de mr zemmou… @url,normal,indirect,indifference,other,other
65,Être 4 renois dans une 206 musique fond vapotes à gogo et oublier les papiers de la voiture,abusive_offensive,direct,fear_indifference,origin,individual
66,je suis végétarien et voici ce que rencontre avec un éleveur mongol m'a fait réaliser sur l'écologie @url,normal,direct,indifference,origin,other
67,@user @user @user de plus la majorité des migrants venant en france ne cherchent pas du tout le n… @url,fearful_normal,indirect,indifference,origin,immigrants
68,@user j'espère que pas eu un mongol qui essayé de prouver ça en sautant depuis son balcon,offensive_normal,indirect,indifference,disability,individual
69,rt @user y'a une meuf dans classe elle se pleins du racisme envers les arabes mais taleur elle traiter un asiatique de ching cho,hateful,direct,indifference,origin,indian/hindu
70,@user c'est un golden retriever une race créée par des blancs ces ching chong ne méritent ni nos chiens ni nos inventions.,disrespectful,direct,sadness,origin,other
71,ce n'est pas seulement à #chateaurouge l'avancée de l'immigration et de l'islamisation sont visibles dans nos rues… @url,abusive,direct,sadness,origin,special_needs
72,dc maintenant dire que @user ou le @user sont des lobby juif et sioniste sachant qu’il se revendique tel que… @url,normal,direct,shock_indifference,origin,jews
73,@user @user @user @user @user @user @user bah précise qui tu demande t'es con ou t'es attardé ?,offensive,direct,sadness,other,individual
74,musée mémorial des victimes du terrorisme,disrespectful,direct,indifference,origin,other
75,c'est france inter sur papier repère gauchiste,offensive,direct,sadness_fear,origin,indian/hindu
76,je suis trop attardé sur le bonheur des gens j'ai laisser passer l'mien ...,offensive,direct,anger_fear_indifference_sadness_disgust,origin,other
77,ce n’est pas tous les renois qui suivent son raisonnement ne l’insulte pas tu perds des hassanets pour rien @url,normal,direct,sadness,origin,other
78, le hashtag #pasdevague sonne enfin le glas de l'ideologie laxiste gauchiste qui predomine depuis des annees au se @url,abusive,direct,anger_fear,origin,left_wing_people
79,@user @user mdrrrr attends t'as vraiment cru qu'ils allaient pas répondre à une attardé qui dit d… @url,abusive_offensive,indirect,sadness,origin,individual
80,@user @user fascinant la capacite des gauchistes tjrs rejeter la faute sur les autres. cessez dimp… @url,offensive_disrespectful,indirect,confusion_indifference,other,left_wing_people
81,@user @user @user les arabes empruntent le zéro aux indiens au ix eme siècle !!!,normal,indirect,indifference,origin,arabs
82,@user @user mais c'est une vidéo qui tourne bande de mongol mdrr,abusive_offensive,indirect,indifference,disability,special_needs
83,zemmour aphatie radicalité de l'un terrorisme intellectuel de l'autre ... une maladie: les idéologies une vic… @url,hateful,indirect,indifference,other,individual
84,@user sale juif musulmans je vais salé tes morts et les manger,offensive,direct,shock,religion,jews
85,qui de deter aller au chinois ds la semaine la j...ai trop envie d...un noich,normal,indirect,shock,origin,asians
86,@user laisse tomber t’es un mongol,offensive,direct,fear,origin,individual
87,@user j'y peut rien si t'es attardé et ta pas compris,offensive,direct,indifference,other,individual
88,euthanasie avortement peine de mort #pma #gpa la société contre la vie bat son plein et le diable vous embra… @url,normal,direct,indifference,origin,other
89,c'est tres classique qu'apres une periode gauchiste un redressement s'effectue d'autant plus violent que la period @url,normal,direct,shock,other,other
90,@user c’est de la violence dont vous êtes le produit?,normal,direct,sadness,origin,other
91,bon débarras ! laisse le journal lemonde pleurer adepte de l’islamisation et de l’africanisation de notre conti… @url,abusive,direct,shock,origin,individual
92,est-ce que ça existe des familles renois qui adopte des enfants blancs ?,offensive,direct,sadness,origin,other
93,@user que des renois qui sont d'accord avec son tweet ...,offensive_normal,direct,indifference_disgust,other,other
94,@user ya pas besoin d’avoir 2000 personne pour qu’il ait danger. un rageux gauchiste suffit.,offensive,indirect,shock,origin,left_wing_people
95,@user @user @user que mongol,offensive,indirect,sadness,other,individual
96,@user @user et puisqu'on est là dessus les chiffres soit disant arabes que nous utilisons ne sont p… @url,disrespectful_normal,indirect,indifference,origin,arabs
97,@user @user @user materialiste et extreme gauchiste c'est pas tres compatible si ??? t'as re... @url,fearful,indirect,confusion_indifference,other,left_wing_people
98,qu'attendre d'un gauchiste moustachu la staline ? Ça! @url,disrespectful,direct,sadness,other,left_wing_people
99,@user les renois du havre c'est des bon barges,abusive_offensive_hateful_normal,indirect,indifference,origin,african_descent
100,@user mais je suis tout fait d'accord avec vous. je ne suis pas un islamo-gauchiste et je ne nie pas l'antisem... @url,fearful_abusive_disrespectful_normal,indirect,indifference,other,left_wing_people
101,@user @user @user @user @user juste un gauchiste toujours à donner des leçons de morale,normal,indirect,shock,other,left_wing_people
102,us #pittsburgh 11 morts dans l’attaque de la synagogue #treeoflife assaillant arrêté un néo nazi complotiste anti… @url,abusive_normal,indirect,sadness,other,other
103,@user pareil moi c est tout le temps de la violence genre j assisté à un meurtre,abusive_normal,indirect,shock,other,individual
104,@user @user putain j'ai tellement peur devant tant d'argument d'attardé,offensive,indirect,indifference,other,other
105,d'autres moyens sont déployés pour empêcher l'exode de migrants economiques africains et décourager leur transit pa… @url,abusive_normal,direct,shock,origin,immigrants
106,candidate démocrate en iowa interview sur les menaces contre l’avortement en oregon États qui ont commencé à vote… @url,abusive,direct,sadness,origin,left_wing_people
107,@user @user un gros mongol qui va porter plainte pour un compte parodique heureusement que la hon… @url,offensive,direct,sadness,other,asians
108,ya des renois dans tl cest mariage franchement,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,african_descent
109,@user tu rigolais aussi quand charb allait acheter son pain avec une protection policière pauvre gauchiste demeuré ?,offensive,direct,indifference,other,left_wing_people
110,@user @user vous comprenez tout de travers. il n'appelle pas les africains à franciser leurs noms… @url,normal,indirect,confusion_fear_indifference_disgust,origin,african_descent
111,@user et je vois pas en quoi traiter de mongol serait une insulte ? espèce de russe,abusive_normal,indirect,indifference_disgust,other,other
112,@user @user les frères musulmans dans tout leur délire complotiste antisémite et supprémaciste,offensive,indirect,disgust,religion,muslims
113,nikomouk sale arabe toi et ton poignet tordu — azzedine fdp tout trikard ta grand mere @url,offensive,direct,indifference,origin,individual
114,bien des migrants vivaient aussi dans l'illégalité aux États-unis @url,normal,direct,sadness,origin,indian/hindu
115,@user @user mairie socialope islamo-gauchiste traitre à la france pour résumer,normal,indirect,indifference_disgust,other,left_wing_people
116,le secours catholique ardent promoteur de l'ensauvagement et de l'islamisation de l'europe ! son catholicisme dévo… @url,hateful,direct,shock,origin,other
117,@user @user vous connaissez un autre mot que extreme droite madame la gauchiste? ca fait un peu cuc... @url,disrespectful,indirect,indifference,other,left_wing_people
118,l'islamisation de la france en pleine expansionle résultat de l'infiltration des musulmans ds ts les strates de la… @url,normal,direct,shock,religion,muslims
119,- grèce : augmentation du nombre d’enfants réfugiés et migrants… @url,disrespectful,direct,sadness,origin,immigrants
120,dois mongol @url,offensive,direct,anger_disgust,disability,special_needs
121,les rebeus il glo à la fac grâce à la barbe,normal,direct,anger_confusion_sadness_indifference_fear,origin,indian/hindu
122,les latinos les renois @url,abusive,direct,sadness,origin,left_wing_people
123,@user il également laissé entendre qu'islam = terrorisme. tranquillou un samedi soir sur une chaîne du se… @url,abusive_offensive_hateful,indirect,shock,religion,muslims
124,@user eh bin tu restes à oran!!! sale arabe que tu es,offensive,direct,anger_confusion_fear_indifference_disgust,origin,indian/hindu
125,les tutos en français sur youtube c’est insupportable les 3/4 des vidéos c’est des mecs ils te parlent comme si t’étais un attardé,normal,direct,shock,origin,other
126,alors pourquoi cette condamnation ? la faute à une justice « gauchiste » à de mauvaises fréquentations ?! vous ête… @url,fearful,direct,shock,origin,individual
127,@user dirait un gros daron antillais sur la derniere,normal,indirect,indifference,other,other
128,plutôt déçu du début de la s6 de house cards qui s'attarde trop sur l'héritage de francis et pas assez sur l'évo… @url,abusive_normal,direct,shock,origin,other
129,@user @user ah arrive le gauchiste ne supportant pas qu'on ne puisse avoir un avis different. bon blocage faites vous plaisir,fearful_abusive_offensive_disrespectful_normal,direct,sadness,other,left_wing_people
130,@user @user ptdrrrrr même aps c’est pck il fait que rt dès truc et sais que la plupart des renois d… @url,abusive_disrespectful,indirect,sadness,origin,african_descent
131,@user je ne suis pas un gauchiste comme tu le dis. je ne suis jamais considere de gauche. toi tu es... @url,normal,indirect,indifference,other,left_wing_people
132,ce qui tue c'est que meme offset il en marre de cardi b wallah apars sa reuss personne peut la supporte cette grosse mongol,hateful,direct,sadness_fear,origin,asians
133,@user ah oui le tryptique immigration délinquance terrorisme. qui est conforté par le nombre d'attentats te… @url,abusive,direct,sadness,origin,christian
134,mais ferme ta gueule les renois fake woke ptn @url,offensive,direct,indifference_disgust,origin,other
135,arrêtez de crier à l'invasion quand la méditerranée est devenu le cimetière de la majorité des mig… @url,abusive,direct,confusion_fear,origin,other
136,@user tkt ses des mongol,offensive,direct,anger_sadness_indifference,other,other
137,@user c pas pro wallah c à cause d’eux qu’on est tous vu comme des mongol,offensive,direct,sadness,origin,left_wing_people
138,@user @user @user ouais mais si les arabes ont perdu la et pas ailleurs c'est aussi parce que nous… @url,normal,indirect,shock,origin,arabs
139,les chemins montagneux à 1700 m: les nouvelles voies empruntées par les migrants africains pour rejoindre l’italie… @url,abusive,direct,sadness,origin,indian/hindu
140,tout comme l'allemand mène au nazisme quel attardé ce mec @url,abusive,direct,sadness,origin,other
141,quand croise des rebeus,fearful,direct,anger_indifference,origin,individual
142,@user mdrrrrr engage sale arabe,offensive,direct,shock,origin,arabs
143,inviter des arabes et des noirs sur un plateau télé c’est p…,fearful,direct,anger_confusion_sadness_shock_indifference,origin,indian/hindu
144,@user un vlog d'attardé à l'ancienne,offensive,indirect,indifference,other,other
145,les renois à rennes savent que courir,fearful,direct,confusion_sadness_shock_indifference,origin,other
146,je suis en train de nettoyer chambre et vous savez sur quoi je m’attarde le plus ? le rangement de mon makeup ma… @url,abusive,direct,shock,origin,individual
147,@user @user @user @user ? quelle forme de violence ? je pose juste la question de savoir ce q… @url,normal,indirect,indifference,other,other
148,série d’agressions avec violence : “des faits de trop mais peu nombreux” en corse @url @url,abusive,direct,sadness,origin,other
149,@user @user @user @user bah meilleur que tes mensonges de naïf attardé qui croit que la loi… @url,offensive_disrespectful,direct,sadness,other,individual
150,@user je déteste alain soral. c’est un raciste antisémite complotiste manipulateur,normal,indirect,indifference,other,individual
151,@user si vous voulez mon avis le patient mike doit canaliser tout son amour sous forme de violence...,normal,indirect,indifference,other,other
152,@user @user @user le probleme c'est qu'un gauchiste profond peut rédiger un tel tweet. gauche=maladie mentale,offensive,indirect,shock,other,left_wing_people
153,@user @user blabla de politicard attardé cherchant le buzz,offensive_hateful_disrespectful_normal,indirect,sadness,other,individual
154,@user @user @user @user @user @user mongol,offensive,indirect,shock,other,individual
155,bon les renois vous êtes retourné chez h&amp;m depuis votre cinéma là ?,abusive,direct,sadness,origin,other
156,@user bouahahhaa il se branle sur les cosplay de sneaky cet attardé,normal,direct,fear_shock_indifference_sadness_disgust,origin,other
157,pour en finir avec la cruelle imposture des migrants (4/4) - abbé olivie... @url via @user,offensive,direct,shock,origin,immigrants
158,non mais c'est quoi ce mongol macron il vit dans quel monde,disrespectful,direct,confusion_indifference,origin,indian/hindu
159,#harcèlement sociale. piratage informatique. vandalisme auto,normal,direct,shock,disability,individual
160,même histoire bi-llahi.. alala les hommes des vrais mongol pour la plus part @url,offensive,direct,anger_fear_shock_indifference_disgust,gender,other
161,@user @user @user mdrr dirait le mien j’dois le réanimer toutes les 5 minutes ce mongol..,offensive,indirect,indifference_disgust,other,individual
162,@user c'est un helicoptere attarde mental,fearful,direct,sadness,origin,other
163,@user @user jeu chui attardé ui @url,offensive,direct,indifference,other,individual
164,@user @user t'est matrixé ou juste attardé gros fdp?,offensive,direct,shock,other,individual
165,mdrr fallou mongol un vrai saï saï regardez le deal qu’il pose à l’animatrice... @url,hateful,direct,indifference,origin,african_descent
166,rilès quand il lâche 2 3 mots rebeus dans ses sons il mtue,abusive,direct,sadness,origin,other
167,faut vraiment être un attardé mentale pour dire le projet de post malone c’est l’album de l’année,disrespectful,direct,shock,origin,individual
168,@user @user @user @user en quoi dire sale arabe relève de la dénonciation légitime des… @url,hateful_normal,indirect,indifference,origin,arabs
169,@user c'est là qu'on voit que ce sont des réfugiés parce que dans son pays il aurait au moins une machette.,offensive,direct,confusion_fear_shock_indifference_sadness,origin,hispanics
170,@user et le rire de ce mongol de lucas tout bourré,offensive,direct,indifference_disgust,other,individual
171,@user @user merde aux juifsmerde aux arabesmerdes aux blancs aux noirs.nous sommes des humains un point c est tout !,hateful_normal,indirect,shock,religion,jews
172,@user putain ce gars... même quand j'étais jeune et gauchiste je ne pouvais pas le voir en peinture ce fdp !,offensive,indirect,indifference,origin,left_wing_people
173,@user les rebeus tu leur files un flingue ou une grosse cylindrée ils se sentent plus pisser....,abusive_offensive_hateful_disrespectful,indirect,sadness,origin,arabs
174,@url - dans ce genre le rap mongol vaut le détour ! @url,abusive,direct,sadness,origin,indian/hindu
175,@user comme tout bon gauchiste qui se respecte vous préférez critiquer le fait que l’on ai parlé de ce type… @url,offensive,direct,sadness,origin,hispanics
176,#grandremplacement le gvt de #madrid n'a pas l'intention d'expulser les #migrants mineurs marocains et leurs fami… @url,fearful_abusive_offensive_normal,direct,indifference,origin,immigrants
177,@user nasser kiffe les rebeus cherche pas,offensive,indirect,indifference,other,individual
178,ras-le-bol massif de l'islamisation d… @url,abusive,direct,anger_confusion_sadness_shock_indifference,origin,other
179,@user @user il faut se poser la question : la france veut-elle encore plus de violence et d'agressions? car… @url,fearful_normal,indirect,sadness,other,other
180,qué mongol ce germain il court jusqu’au champs Élysée au lieu de rester placé devant les cages,normal,direct,sadness_indifference,origin,individual
181,la diarrhee gauchiste en pls...n#bolsonaro @url,abusive,direct,sadness_indifference,origin,indian/hindu
182,@user vive les rebeus @url,normal,indirect,sadness,origin,arabs
183,pensez-vous que les rebeus et renois s’aiment réellement ?,normal,direct,indifference,origin,african_descent
184,les meufs renois grosse c ultra rare jai limpression,fearful,direct,sadness,origin,other
185,@user je suis le copain un peu bizarre celui que t'aime bien malgré le fait qu'il soit un peu attardé,abusive_offensive_disrespectful,indirect,sadness,other,other
186,@user mais dirait les renois c’est pas des êtres humains vu comment il en parle????,offensive,indirect,confusion_shock_indifference_disgust,origin,african_descent
187,@user @user 2/2 de predateurs mangent aussi par gout renseigne toi le chat est l...exemple par... @url,normal,direct,shock,other,other
188,#europe #france grèce: les transferts de réfugiés et migrants vers le continent s’accélèrent  @url,normal,direct,sadness,origin,immigrants
189,40 années de laxisme gauchiste !!!! @url,hateful,direct,shock,origin,left_wing_people
190,je déteste @user sale arabe @url,abusive,direct,shock,origin,individual
191,utopie gauchiste,fearful_abusive_offensive_disrespectful_normal,indirect,indifference,other,left_wing_people
192,l'attardé qui marque,disrespectful,direct,fear_shock,origin,individual
193,t’aimes bien les rebeus ? — j’ai rien contre mdrr @url,fearful,direct,sadness,origin,christian
194,@user @user @user @user absolument rien compris tu viens de dire que t’étais à l’école espèce d’attardé,offensive,direct,indifference,disability,individual
195,@user @user merci pour l...insulte.n@url,abusive_normal,indirect,shock,other,individual
196,mais joséphine arrive à pecho des rebeus avec sa couleur de cheveux? — mdr vous la sous-estimez beaucoup trop @url,abusive_disrespectful,direct,indifference,other,other
197,rt @user la logique d'un gauchiste #npc #npcmeme @url,normal,direct,anger_confusion_sadness_indifference_disgust,origin,individual
198,avec tout ses rebeu et ses renois en @user Éric zemmour du faire une dépression quand la @user gagné la coupe du monde.,offensive,direct,shock,origin,individual
199,@user @user ostie que t'es mongol,offensive,direct,indifference_disgust,other,individual
200,@user @user @user bz tes morts sale juif,offensive,direct,shock,religion,jews
201,soral dieudonné sur les juifs : c'e…,abusive,direct,fear,origin,other
202,@user les sunnites autorisent meurtrespédophiliepolygamie violence contre les femmes etc.tous les pays… @url,hateful,direct,anger_fear_indifference_sadness_disgust,religion,muslims
203,normalement en afrique nos dirigent doivent utiliser 50% de dictature et 50% de démocratie,normal,direct,confusion_indifference,origin,african_descent
204,vu que je suis métisse quand je traine avec un groupe de renois ils disent tous que je sui…,offensive,indirect,sadness,origin,african_descent
205,@user @user complice ..... tu diras gauchiste c pareil,fearful_disrespectful_normal,direct,indifference,other,left_wing_people
206,@user @user normal aucuns blancs veux des arabes cette salle race veux pas de vous aimes les… @url,offensive,direct,indifference_disgust,origin,arabs
207,@user ça dépend ou tu vas :) en sicile j'ai vu pas mal de renois et ils avaient pas l'air dégouté ;),abusive,direct,anger_confusion_sadness_indifference_fear,origin,other
208,@user @user sauf que les rebeus qui utilisent le terme c'est pour qualifier la fille de prostituée et de ma… @url,offensive,indirect,indifference,origin,arabs
209,@user la vraie question est: la france veut-elle encore un peu plus de violence !?,normal,indirect,fear_indifference,other,other
210,@user ils sont aussi complotiste anti-vaccin ?,normal,indirect,anger_confusion_fear_shock,other,other
211,lyon trop de petits rebeus de qualité @url,abusive,direct,shock,origin,individual
212,@user @user @user il semblerait que tu ai ramené un parasite que dis je une maladie vénéri… @url,offensive,indirect,indifference_disgust,other,individual
213,@user @user @user ok mongol... range ta chambre.,offensive,direct,shock,other,individual
214,les arabes même quand ils sont malades c la faute du mauvais œil  @url,offensive,direct,shock,origin,african_descent
215,mieux que le beat box! le mongol à la branche enflammée #lfauit,offensive,direct,indifference,origin,other
216,@user @user @user j'avoue c'est un gros troll ce mongol x),abusive_offensive,direct,indifference_disgust,other,individual
217,@user @user des fils de putes autant que quand aime pas les noirs ou les arabes,hateful,indirect,indifference_disgust,origin,african_descent
218,@user @user tu é mongol,offensive,direct,confusion_sadness_indifference_disgust,other,individual
219,@user @user mais le renois c’est pas le pote de jaymax là ?,offensive,indirect,anger_indifference,origin,african_descent
220,@user différentes idéologies ont pu employer le terrorisme au moment opportun. en revanche l'islam politique… @url,fearful,direct,indifference,origin,other
221,les chasseurs cette annee c'est des attardé ou quoi que des dingueries....mais bon tant que c'est pas des noirs ou… @url,abusive,direct,sadness,origin,indian/hindu
222,@user @user couillon gauchiste et vrai cretin genre ! casse-toi !,offensive,indirect,indifference_disgust,other,left_wing_people
223,tiens j'ai une blague de mongol pour égayer votre lundi...,abusive,direct,sadness,origin,left_wing_people
224,@user @user mskn s'en bat les couilles de bassem il nous raconte ça vie le nombre de cas social chez les renois frère,offensive,direct,sadness_indifference_disgust,origin,african_descent
225,@user @user tu plus fait pour la communauté musulmane rohyngia que tous les dirigeants arabes réunis… @url,normal,direct,indifference,other,other
226,wallah nous au cinéma un rebeu crier tous le monde répondu : oh ferme ta gueuke va te niker apres il s’est e… @url,offensive,indirect,shock,origin,arabs
227,@user @user @user @user @user ok l'attardé.,offensive,direct,indifference_disgust,other,individual
228,en toute franchise quel que soient votre origine keske pense vos parents des rebeus en general...,abusive_normal,direct,sadness,origin,arabs
229,paris: un centre d'hébergements pour réfugiés ouvre dans le 16e @url via @user… @url,normal,direct,shock,origin,refugees
230,@user @user @user oui mais ce sont les juifs ashkénazes qui ont un qi moyen très élevé et qui ont p… @url,abusive_normal,indirect,sadness,religion,jews
231,mon voisin du dessus il est pour le psg ce mongol il vient de faire un énorme hurlement en criant « mbappeeeeee » o… @url,abusive_offensive_hateful_disrespectful_normal,direct,sadness_indifference,other,individual
232,des noirs au milieu des rebeus pour la technique c’est mon lyon ça @url,hateful,direct,indifference,origin,african_descent
233,de châtelet à gare du nord tu croise que des renois/ tysmés en survêt + teinture blonde flm,normal,direct,sadness_indifference,origin,african_descent
234,@user @user sacrilege pas gauchiste ultra gauchiste!!! pour les 30h voire les 24h (3x8) pour le smic a... @url,offensive,direct,confusion_fear_indifference_sadness_disgust,other,left_wing_people
235,@user @user @user @user @user texte idiot sans doute ecrit par un prof gauchiste de… @url,offensive,direct,sadness,other,left_wing_people
236,ptdrr débat d’attardé entre un panarabiste et un nationaliste marocain,offensive,direct,indifference,origin,arabs
237,@user @user j’aimerais bien savoir pourquoi « l’islamogauchiste » est votre ennemi principal et… @url,normal,indirect,anger_sadness_indifference,origin,other
238,1967 - guerre des six jours manifestations dans le monde en soutien à l'État juif,offensive,direct,anger_sadness_shock_indifference_disgust,origin,indian/hindu
239,regarder ces attardé ptn est pas dans la merde pour 2019... @url,normal,direct,sadness,origin,other
240,@user @user @user depuis quand besoinde la tv pour etre informé ??? putain de mongol ca fait peur,offensive,direct,indifference,other,individual
